Sample_41.X3_S26	Sample_41.X2_S25	Sample_41.X1_S24	Sample_41.C3_S23	Sample_41.C2_S22	Sample_41.C1_S21
7SK	301	374	358	390	419	383
A1BG	3	7	3	8	1	3
A1BG-AS1	33	45	35	25	20	32
A1CF	0	0	0	0	0	0
A2M	39	32	27	6	5	4
A2M-AS1	1	7	1	0	1	0
A2ML1	17	18	12	79	84	73
A2ML1-AS1	0	0	0	0	0	0
A2ML1-AS2	0	0	0	1	1	0
A2MP1	1	0	3	6	4	2
A3GALT2	7	0	1	5	3	1
A4GALT	0	0	0	0	0	0
A4GNT	0	0	0	1	0	0
AAAS	2868	2921	2818	2202	1989	2242
AACS	1437	1480	1271	484	404	475
AACSP1	0	0	0	0	0	0
AADAC	2	0	6	3	0	0
AADACL2	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0
AADAT	17	15	14	19	7	10
AAED1	379	391	400	282	308	293
AAGAB	3014	2531	3371	3147	3001	2829
AAK1	1080	1105	1126	876	883	807
AAMDC	135	135	114	143	133	133
AAMP	9104	8787	9071	7328	7077	6866
AANAT	3	4	15	10	10	8
AAR2	2710	2868	2851	2410	2196	2298
AARD	0	0	0	0	1	0
AARS	10150	8284	12298	8318	8368	7714
AARS2	1208	1349	1105	814	711	700
AARSD1	122	109	94	102	64	62
AASDH	635	626	598	616	673	543
AASDHPPT	1735	1741	1746	1651	1618	1592
AASS	470	515	504	219	212	197
AATF	5262	5839	5274	4641	4616	4463
AATK	73	61	100	104	81	85
AATK-AS1	0	0	0	0	1	2
AB015752.3	2	3	0	4	0	1
AB019438.66	0	0	0	0	0	0
AB019440.1	5	9	7	12	14	12
AB019440.50	17	8	11	25	21	15
AB019441.29	6963	5882	7437	6540	6157	5987
ABAT	163	187	201	239	233	225
ABC12-47043100G14.2	0	0	0	0	0	0
ABC7-42389800N19.1	1173	1213	1172	1171	1141	1147
ABC7-43041300I9.1	0	0	0	0	0	0
ABCA1	2625	2883	2741	2476	2447	2612
ABCA10	19	20	19	45	47	36
ABCA11P	16	24	14	21	15	24
ABCA12	27	18	12	6	1	6
ABCA13	14	15	13	7	15	8
ABCA17P	11	18	24	26	39	28
ABCA2	3446	3441	4041	4190	4064	3969
ABCA3	175	199	223	338	310	286
ABCA4	0	0	1	0	0	0
ABCA5	12	18	10	15	9	12
ABCA6	9	3	7	5	8	7
ABCA7	374	489	404	687	655	632
ABCA8	0	0	1	4	6	3
ABCA9	125	99	150	256	222	248
ABCA9-AS1	0	0	0	2	7	2
ABCB1	582	462	719	631	650	664
ABCB10	1675	1596	1722	1468	1335	1375
ABCB10P1	0	2	0	1	1	0
ABCB10P3	0	0	0	0	0	0
ABCB10P4	1	0	0	0	0	0
ABCB11	0	0	0	1	1	0
ABCB4	2	3	2	2	3	1
ABCB5	6	7	11	0	6	9
ABCB6	31	27	37	30	35	27
ABCB7	877	1100	808	705	683	658
ABCB8	1573	1725	1593	1091	920	1028
ABCB9	298	329	245	222	197	203
ABCC1	4718	5116	4655	4967	4918	5175
ABCC10	687	684	677	623	559	538
ABCC11	9	12	9	8	14	9
ABCC12	0	0	0	0	0	0
ABCC13	0	1	0	2	0	0
ABCC2	89	61	80	87	88	67
ABCC3	1	3	1	4	3	3
ABCC4	5187	5120	5426	7012	6706	6732
ABCC5	1537	1439	1533	1733	1573	1445
ABCC5-AS1	1	0	0	1	0	1
ABCC6	12	17	16	21	10	9
ABCC6P1	0	0	0	0	0	1
ABCC6P2	0	0	0	0	0	0
ABCC8	0	0	1	0	0	0
ABCC9	2	0	0	0	0	0
ABCD1	321	342	318	373	351	329
ABCD1P2	0	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0
ABCD2	3	7	1	0	0	3
ABCD3	756	922	647	599	629	512
ABCD4	3009	2654	3084	3162	2830	2655
ABCE1	5857	5869	6396	4207	4377	4202
ABCF1	6923	7083	7475	6251	6291	6428
ABCF2	3120	2812	3628	3156	3216	3299
ABCF2P1	19	35	26	38	27	18
ABCF2P2	0	0	0	0	0	0
ABCF3	2639	2416	2691	1540	1417	1384
ABCG1	194	119	358	255	237	268
ABCG2	0	0	2	0	1	0
ABCG4	2	1	0	2	0	0
ABCG5	2	1	0	1	2	0
ABCG8	0	1	1	2	2	0
ABHD1	40	61	32	19	17	8
ABHD10	1190	1221	1076	635	620	578
ABHD11	496	573	434	509	507	418
ABHD12	1292	1429	1267	921	948	982
ABHD12B	162	155	201	199	221	227
ABHD13	1163	1100	1368	1244	1098	1051
ABHD14A	492	556	517	409	474	489
ABHD14A-ACY1	8	7	10	5	12	8
ABHD14B	5606	5970	5761	5579	5331	5896
ABHD15	231	194	226	330	291	283
ABHD16A	125	148	117	87	98	85
ABHD16B	181	222	217	221	201	188
ABHD17A	2369	2987	2414	2428	2190	1951
ABHD17AP1	0	0	0	0	0	0
ABHD17AP2	0	0	0	0	0	0
ABHD17AP3	6	7	7	8	2	3
ABHD17AP4	0	0	3	1	0	0
ABHD17AP5	7	10	11	5	7	7
ABHD17AP6	0	0	0	0	2	0
ABHD17B	1227	1177	1232	1119	1171	1139
ABHD17C	152	170	206	186	180	165
ABHD2	2806	3114	3101	3146	3148	3124
ABHD3	325	342	310	299	270	299
ABHD4	2742	3087	2693	2395	2232	2289
ABHD5	434	474	427	360	350	342
ABHD6	90	101	104	199	150	210
ABHD8	60	56	58	104	93	77
ABI1	3473	3880	3647	3572	3485	3560
ABI2	2076	2278	2022	1304	1295	1245
ABI3	25	29	46	49	46	51
ABI3BP	17	25	17	7	16	8
ABL1	4812	5286	4959	4115	4028	3802
ABL2	2528	2540	2850	2691	2824	2373
ABLIM1	23	35	25	21	13	13
ABLIM2	1	5	3	4	0	2
ABLIM3	9	7	12	3	4	5
ABO	0	0	0	2	0	0
ABR	6204	6423	6497	6127	6119	6076
ABRA	1	0	1	0	0	0
ABRACL	2771	2868	2548	1732	1712	1584
ABT1	2575	2596	2384	1996	1759	1774
ABT1P1	1	2	1	0	2	3
ABTB1	1339	1305	1304	1527	1377	1254
ABTB2	477	533	503	379	362	300
AC000003.1	0	0	0	0	0	0
AC000003.2	0	0	0	0	0	2
AC000029.1	0	0	0	0	0	0
AC000032.2	0	0	0	0	0	0
AC000036.4	1	0	1	2	3	0
AC000041.8	0	0	0	0	0	0
AC000067.1	0	0	0	0	0	0
AC000068.10	4	0	6	3	2	1
AC000068.5	7	4	4	11	10	6
AC000068.9	0	0	0	0	0	0
AC000077.2	0	0	0	0	0	0
AC000078.5	22	11	20	34	19	16
AC000081.2	0	0	0	0	0	0
AC000089.3	38	43	44	31	27	38
AC000095.9	0	0	0	0	0	0
AC000099.1	0	0	0	0	0	0
AC000110.1	4	4	4	1	4	4
AC000111.3	0	0	0	0	0	0
AC000111.4	0	0	0	0	0	0
AC000111.5	0	0	0	0	0	0
AC000111.6	0	0	0	0	0	0
AC000120.7	36	42	46	37	26	31
AC000123.4	104	115	97	87	106	97
AC000124.1	0	0	0	0	0	0
AC000362.1	0	0	0	0	0	0
AC000367.1	0	0	0	0	0	0
AC000370.2	0	0	0	0	0	0
AC000374.1	0	0	1	0	0	0
AC000403.1	0	0	0	0	0	0
AC002044.4	0	0	0	0	0	1
AC002055.4	126	137	102	106	111	115
AC002056.3	80	119	87	53	72	56
AC002056.5	1	0	1	0	0	0
AC002059.10	3	5	7	1	7	8
AC002064.4	2	3	1	2	3	2
AC002064.5	6	5	1	5	2	5
AC002066.1	0	1	0	1	0	0
AC002066.2	0	0	0	0	0	0
AC002069.5	6	7	6	2	2	8
AC002069.6	0	0	0	0	0	0
AC002070.1	0	0	0	2	0	0
AC002075.3	0	0	0	0	0	0
AC002075.4	8	2	4	6	6	4
AC002076.10	0	0	0	0	0	0
AC002115.5	0	0	0	1	0	0
AC002115.9	0	0	0	0	0	0
AC002116.7	7	12	7	15	11	15
AC002116.8	0	0	0	0	0	0
AC002117.1	13	14	11	22	16	14
AC002127.2	0	0	1	0	1	0
AC002127.4	1	2	0	1	0	0
AC002128.4	0	0	0	0	0	0
AC002128.5	0	0	0	0	0	0
AC002306.1	0	0	0	0	0	0
AC002310.10	20	11	10	15	24	12
AC002310.12	113	128	124	109	134	123
AC002310.13	0	0	0	0	0	0
AC002310.17	8	7	1	4	5	4
AC002310.7	10	2	2	0	3	1
AC002314.4	0	0	0	0	0	0
AC002331.1	0	0	0	0	0	0
AC002365.1	0	0	0	0	0	0
AC002366.3	0	0	1	0	0	0
AC002368.4	0	0	0	0	0	0
AC002383.2	0	0	0	0	0	0
AC002386.1	0	0	0	0	0	0
AC002395.1	0	2	0	0	0	0
AC002398.11	45	34	34	31	31	38
AC002398.12	0	0	0	0	0	0
AC002398.13	7	7	1	4	2	0
AC002398.5	0	0	0	0	0	0
AC002398.9	0	0	0	0	0	0
AC002400.1	13	10	10	6	3	2
AC002401.1	0	0	0	0	0	0
AC002429.4	0	0	0	0	0	0
AC002429.5	0	0	0	0	0	0
AC002451.1	0	0	0	1	0	0
AC002451.3	0	0	0	1	1	1
AC002454.1	257	243	180	157	139	151
AC002456.2	1	3	1	0	0	0
AC002463.3	6	11	8	3	1	0
AC002465.2	0	0	0	0	0	0
AC002467.7	72	87	55	94	85	82
AC002472.1	1	0	0	0	0	0
AC002472.11	0	0	0	0	0	1
AC002472.13	1	2	0	0	0	1
AC002477.1	0	2	1	0	0	0
AC002480.2	0	0	0	0	0	0
AC002480.3	0	0	0	0	0	0
AC002480.4	0	0	0	0	0	0
AC002480.5	0	0	0	0	0	0
AC002485.1	0	0	0	0	0	0
AC002486.2	0	0	0	0	0	0
AC002486.3	1	0	2	1	0	1
AC002511.1	0	0	0	0	0	0
AC002511.2	0	0	0	0	0	0
AC002511.3	1	0	0	0	0	0
AC002519.6	3	0	3	2	5	2
AC002519.8	0	2	2	1	2	1
AC002523.1	0	0	0	0	0	0
AC002539.1	0	0	0	0	0	0
AC002539.2	0	0	0	0	0	0
AC002542.2	3	0	0	0	0	0
AC002543.2	5	9	8	10	3	7
AC002550.5	0	0	0	0	2	0
AC002551.1	1	1	0	1	1	0
AC002553.1	4	3	1	7	1	2
AC002553.4	0	0	0	0	0	3
AC002558.1	0	0	0	0	0	0
AC002978.1	0	0	0	0	0	0
AC002979.1	0	0	0	0	0	0
AC002981.1	0	0	0	0	0	0
AC002984.2	0	0	0	2	2	0
AC002985.3	0	0	0	0	0	0
AC002992.1	0	0	0	0	0	0
AC002994.1	0	0	0	0	0	0
